Company,Company response to consumer,Complaint ID,Consumer consent provided?,Consumer disputed?,Date Received,Date Submitted,Issue,Product,State,Sub-issue,Sub-product,Submitted via,Timely response?,ZIP code,Bottom of Gauge,complaints,Top of Gauge
Cumulus Financial,Closed with explanation,1097370,N/A,No,31-10-2014,31-10-2014,Customer service / Customer relations,Credit card,PA,Unknown,Unknown,Web,Yes,19085,0,1,1
Cumulus Financial,Closed with explanation,553847,N/A,No,07-10-2013,07-10-2013,Delinquent account,Credit card,PA,Unknown,Unknown,Web,Yes,154XX,0,1,1
Cumulus Financial,Closed with explanation,860116,N/A,No,20-05-2014,20-05-2014,Delinquent account,Credit card,PA,Unknown,Unknown,Web,Yes,17408,0,1,1
Cumulus Financial,Closed with explanation,1111581,N/A,No,11-11-2014,11-11-2014,Forbearance / Workout plans,Credit card,PA,Unknown,Unknown,Web,Yes,19122,0,1,1
Cumulus Financial,Closed with explanation,197799,N/A,No,27-11-2012,27-11-2012,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,19606,0,1,1
Cumulus Financial,Closed with explanation,463237,N/A,No,22-07-2013,22-07-2013,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,164XX,0,1,1
Cumulus Financial,Closed with explanation,528375,N/A,No,17-09-2013,16-09-2013,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,193XX,0,1,1
Cumulus Financial,Closed with explanation,536785,N/A,No,20-09-2013,20-09-2013,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,184XX,0,1,1
Cumulus Financial,Closed with explanation,537012,N/A,No,21-09-2013,21-09-2013,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,19026,0,1,1
Cumulus Financial,Closed with explanation,616601,N/A,No,04-12-2013,01-12-2013,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,19401,0,1,1
Cumulus Financial,Closed with explanation,899677,N/A,No,18-06-2014,18-06-2014,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,194XX,0,1,1
Cumulus Financial,Closed with explanation,1027775,N/A,No,17-09-2014,13-09-2014,Identity theft / Fraud / Embezzlement,Credit card,PA,Unknown,Unknown,Web,Yes,19438,0,1,1
Cumulus Financial,Closed with explanation,172197,N/A,No,17-10-2012,16-10-2012,Late fee,Credit card,PA,Unknown,Unknown,Web,Yes,18103,0,1,1
Cumulus Financial,Closed with explanation,359271,N/A,No,21-03-2013,20-03-2013,Late fee,Credit card,PA,Unknown,Unknown,Web,Yes,150XX,0,1,1
Cumulus Financial,Closed with explanation,975159,N/A,No,08-08-2014,08-08-2014,Late fee,Credit card,PA,Unknown,Unknown,Web,Yes,19607,0,1,1
Cumulus Financial,Closed with explanation,500309,N/A,No,22-08-2013,22-08-2013,Other,Credit card,PA,Unknown,Unknown,Web,Yes,15642,0,1,1
Cumulus Financial,Closed with explanation,506255,N/A,No,28-08-2013,28-08-2013,Other,Credit card,PA,Unknown,Unknown,Web,Yes,168XX,0,1,1
Cumulus Financial,Closed with explanation,634118,N/A,No,14-12-2013,15-12-2013,Other,Credit card,PA,Unknown,Unknown,Web,Yes,150XX,0,1,1
Cumulus Financial,Closed with explanation,663657,N/A,No,10-01-2014,10-01-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,19145,0,1,1
Cumulus Financial,Closed with explanation,738989,N/A,No,03-03-2014,02-03-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,161XX,0,1,1
Cumulus Financial,Closed with explanation,763777,N/A,No,18-03-2014,18-03-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,19460,0,1,1
Cumulus Financial,Closed with explanation,784648,N/A,No,28-03-2014,29-03-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,160XX,0,1,1
Cumulus Financial,Closed with explanation,845975,N/A,No,09-05-2014,09-05-2014,Other,Credit card,PA,Unknown,Unknown,Web,Yes,17036,0,1,1
